ra,mag,decrad,con
0.617102,7.16,0.953742797,Cassiopeia
2.915413,7.65,-0.973581782,Phoenix
1.463408,5.65,-0.04177685,Cetus
2.850085,7.72,-0.69354426,Phoenix
3.582623,9.41,-0.48956082,Sculptor
3.697352,9.34,0.08823621,Taurus
3.152925,7.62,0.16240994,Pisces
0.527767,9.46,0.992052032,Camelopardalis
3.038043,9.1,-0.884256155,Phoenix
1.445303,8.58,-0.330092979,Cetus
0.829133,7.81,1.093916633,Cassiopeia
2.844841,7.48,-0.977584793,Phoenix
2.730983,8.58,0.573647503,Perseus
2.248328,8.9,-1.030018357,Horologium
3.901413,8.1,1.555173577,Ursa Minor
3.164196,10.85,0.244303722,Pisces
1.241397,9.66,0.021385345,Cetus
3.208042,9.34,0.563612694,Pisces
1.019429,7.42,1.420255149,Cepheus
2.536714,9.55,0.940074878,Perseus
1.897429,8.45,-0.337128703,Eridanus
1.62318,11.8,0.047935061,Cetus
1.779674,8.68,-0.387938993,Eridanus
0.366666,9.06,0.376411837,Aries
1.476149,8.07,-0.406336593,Cetus
3.54053,10.11,-0.464918965,Sculptor
2.694661,10.72,0.953366913,Perseus
1.944873,9.66,-0.722048192,Eridanus
3.052283,9.27,-0.734220218,Phoenix
0.715237,8.13,1.03062173,Cassiopeia
1.97611,9.97,-0.066665283,Eridanus
1.513981,7.09,0.179288499,Cetus
0.646523,11.65,0.849247143,Cassiopeia
3.253111,8.29,0.30811709,Pisces
2.542408,8.27,0.928325068,Perseus
0.624893,5.72,0.925841067,Cassiopeia
0.033127,6.22,0.579554714,Andromeda
3.474854,8.85,-0.607901795,Sculptor
3.731945,10.17,0.417197474,Taurus
1.649077,9.2,0.074319181,Cetus
0.222368,7.22,0.672221032,Andromeda
3.559937,9.09,-0.667547858,Sculptor
2.209642,9.2,-0.560305424,Fornax
1.924206,8.57,-0.744889037,Eridanus
3.671022,7.22,0.072352043,Taurus
1.858036,7.05,-0.049623109,Eridanus
0.899506,9.39,1.059508192,Cassiopeia
3.706407,9.24,0.484778712,Taurus
2.850971,7.05,-0.875575875,Phoenix
0.557814,10.28,0.941584664,Camelopardalis
2.073491,7.76,-0.627298567,Fornax
1.930306,9.58,-0.072403722,Eridanus
1.967088,8.89,-0.242362843,Eridanus
0.628996,9.6,1.095382643,Cassiopeia
2.479575,7.68,-1.322307738,Hydrus
0.842604,11.31,1.117375672,Cassiopeia
0.360695,8.73,0.395135872,Aries
3.801817,8.11,0.57358504,Triangulum
3.104756,6.98,0.101994374,Pisces
1.120528,9.75,-0.381915903,Cetus
0.478021,8.35,0.240292869,Aries
0.220598,9.07,0.816098486,Andromeda
2.423747,8.71,-1.219754998,Hydrus
1.409427,8.76,-0.31521714,Cetus
2.264761,9.17,-1.062852538,Horologium
0.955171,8.75,1.078129082,Cassiopeia
1.605684,8.85,-0.160166074,Cetus
0.71491,8.33,1.159121513,Cassiopeia
2.340219,8.22,-0.769188776,Horologium
3.259606,8.56,0.321002721,Pisces
0.782117,6.99,1.015923749,Cassiopeia
3.829849,5.5,-1.215183973,Tucana
1.276747,8.2,-0.191537315,Cetus
0.168684,7.34,0.862710035,Andromeda
0.99291,9.4,1.501385586,Cepheus
0.09199,8.62,0.624521855,Andromeda
2.131327,10.53,-0.638298716,Fornax
1.314143,8.27,-0.096748237,Cetus
1.386908,3.74,-0.180380436,Cetus
3.660329,6.49,0.112009843,Taurus
0.394405,9.44,0.534290506,Aries
0.371404,8.46,0.382309601,Aries
1.347464,11.11,-0.330698575,Cetus
