id,ra,dec,mag,x,y,z,rarad,decrad,con
65,0.012498,-54.830524,11,31.509513,0.102901,-44.718378,0.003272084,-0.956973167,Phe
66,0.012567,-72.31822,8.55,38.642308,0.12708,-121.21608,0.00329014,-1.262191051,Tuc
67,0.013288,23.538219,7.83,137.862871,0.479653,60.054225,0.003478835,0.410819416,Peg
68,0.01336,16.988197,8.79,30.206989,0.105644,9.228456,0.003497534,0.296499974,Peg
69,0.013427,30.39589,8.33,157.686444,0.554335,92.499452,0.003515298,0.530508353,Peg
70,0.013512,36.777637,10.42,134.841793,0.476944,100.793121,0.003537543,0.641890861,And
71,0.013803,36.780106,8.26,109.716997,0.396439,82.019935,0.003613533,0.641933947,And
72,0.014661,-12.828961,8.97,85.679304,0.328884,-19.511553,0.003838332,-0.223907608,Cet
73,0.014694,66.848011,6.9,110.131222,0.423507,257.553115,0.00384682,1.16671789,Cep
74,0.014817,35.752624,9.93,36.132732,0.140219,26.014553,0.003879101,0.624001007,And
75,0.014882,-50.446459,7.42,408.201365,1.590705,-494.249872,0.003896143,-0.8804568,Phe
76,0.015214,32.825654,9.03,290.767266,1.158155,187.572518,0.003983096,0.57291574,And
77,0.015371,-30.064166,8.41,180.680166,0.727112,-104.586559,0.00402416,-0.52471869,Scl
78,0.015487,17.867851,8.06,675.006346,2.736898,217.604708,0.004054603,0.311852827,Peg
79,0.015718,35.31672,8.69,221.127909,0.909944,156.665514,0.004114836,0.616393049,And
80,0.016187,-11.823739,8.4,71.547716,0.303237,-14.978171,0.004237843,-0.206363167,Cet
81,0.016228,-4.932534,8.57,43.620267,0.185316,-3.764562,0.004248399,-0.086088965,Psc
82,0.016534,-10.935963,9.5,98183.06289,425.0085,-18971.17627,0.004328713,-0.19086857,Cet
83,0.016538,52.080562,8.85,333.993017,1.446094,428.736791,0.00432974,0.908977282,Cas
84,0.016824,27.88633,9.61,42.229742,0.186052,22.346816,0.00440443,0.486708281,Peg
85,0.017075,-24.714048,10.62,276.950145,1.238095,-127.466385,0.004470226,-0.431341505,Cet
86,0.017361,69.603505,8.05,94.962169,0.431695,255.396031,0.004545022,1.214810327,Cep
87,0.017433,-5.835002,7.8,338.370259,1.544324,-34.579615,0.004563975,-0.10184,Psc
88,0.017941,-48.809876,5.71,119.736878,0.562356,-136.823418,0.00469696,-0.851893035,Phe
89,0.018477,53.166943,7.87,348.533968,1.685962,465.34044,0.004837238,0.9279382,Cas
90,0.018671,-41.887544,7.64,84.308939,0.412135,-75.61391,0.004887982,-0.731075555,Phe
91,0.018702,-5.874348,7.66,299.619504,1.467004,-30.827462,0.004896188,-0.102526708,Psc
92,0.019379,-20.70555,8.68,378.703543,1.921411,-143.143907,0.00507353,-0.361380014,Cet
93,0.01949,-0.076098,8.12,61.198649,0.312274,-0.081283,0.005102575,-0.001328168,Psc
94,0.019665,-32.756836,10.1,76.312459,0.392913,-49.099347,0.005148288,-0.571714649,Scl
95,0.020134,-11.964034,8.67,146.009571,0.769644,-30.939939,0.005271149,-0.208811777,Cet
96,0.02033,13.975088,10.46,34.108524,0.181537,8.48858,0.005322267,0.243911299,Peg
97,0.020478,-52.798575,9.87,105.701105,0.566682,-139.250874,0.00536118,-0.92150898,Phe
98,0.020492,-21.404042,9.48,167.750771,0.899961,-65.755407,0.005364759,-0.373571011,Cet
99,0.021069,60.355282,7.04,433.870743,2.393403,762.376203,0.005515927,1.053398394,Cas
100,0.021092,19.741243,8.44,173.335818,0.957136,62.20496,0.00552188,0.344549691,Peg
101,0.021315,-47.793831,9.88,80.647032,0.450014,-88.923428,0.005580284,-0.834159719,Phe
102,0.021365,-41.487437,7.05,213.415758,1.193767,-188.733861,0.005593319,-0.72409238,Phe
103,0.021475,-68.371127,8.29,40.504087,0.227686,-102.152833,0.005622028,-1.193301286,Tuc
104,0.021776,-31.899618,9.34,82.906345,0.472627,-51.604728,0.005700963,-0.556753373,Scl
105,0.021855,70.928938,7.73,90.258359,0.516403,261.081237,0.005721755,1.237943499,Cep
